threat_id,domain,title,asset_property,profiles,component,trust_boundary,threat_actor,adversary_capability,collusion_assumption,preconditions,attack_path,context_scope,time_horizon,alongside_information,technical_effect,human_institutional_harm,preventive_detective_corrective_controls,control_owner,verification_method,conformance_requirement,residual_risk,deployment_decision,severity,harm_ids,status
THR-001,cryptographic,Forged proof accepted,soundness,both,prover/verifier,presentation,ADV-U,active computational attacker,none,weak or broken proof system or verifier,construct proof for false statement,transaction,session,proof parameters and verifier configuration,false predicate accepted,impersonation or unauthorized access,CTL-AGL; independent implementation tests; parameter integrity,profile authority; verifier,negative vectors and implementation review,SEC-001,cryptographic assumptions remain,prohibit on broken profile,critical,HRM-IMP;HRM-ECO,baseline
THR-002,cryptographic,Replay across requests,freshness,both,wallet/verifier,presentation,ADV-U,records valid presentation,none,request binding incomplete,replay proof under new request,verifier or cross-verifier,session to expiry,"nonce, audience, transaction fields",old authorization reused,fraud or unauthorized transaction,CTL-TRN,wallet; verifier,cross-request replay tests,SEC-002,clock and storage race,mitigate,high,HRM-IMP;HRM-ECO,baseline
THR-003,cryptographic,Cross-domain transcript substitution,semantic binding,both,wallet/verifier,protocol,ADV-U,active message substitution,none,missing domain separation or profile binding,move proof between protocol/profile contexts,cross-protocol,session,"protocol ID, profile ID, audience",proof valid for unintended statement,authorization bypass,CTL-TRN,wallet; verifier,domain-separation vectors,SEC-003,implementation parser divergence,mitigate,high,HRM-IMP;HRM-GOV,baseline
THR-004,cryptographic,Setup or parameter compromise,soundness and privacy,both,parameter distributor,governance-to-runtime,ADV-R,privileged parameter substitution,operator collusion possible,trusted setup or mutable parameters,publish compromised parameters,ecosystem,cryptoperiod,setup transcript and parameter digests,forgery or witness risk,system-wide compromise,CTL-AGL; transparent parameter governance,profile authority,parameter provenance audit,SEC-004,unknown retained setup secret,transfer or prohibit,critical,HRM-IMP;HRM-SYS,baseline
THR-005,cryptographic,Prover side-channel leakage,witness confidentiality,both,wallet/runtime,holder-runtime,ADV-W,local observation or compromised runtime,none,secret-dependent execution,"observe timing, memory, power or logs",device,credential lifetime,device telemetry and crash reports,witness or correlation leakage,identity compromise and surveillance,hardened implementation; CTL-OBS,wallet provider,side-channel review and logging inspection,SEC-005,device compromise remains,mitigate,high,HRM-PRV;HRM-IMP,baseline
THR-006,holder,Transferred key treated as human continuity,holder binding,both,wallet/verifier,holder-wallet,ADV-U,obtains or shares key,none,key control conflated with person presence,use transferred holder key,account,binding lifetime,device and recovery records,wrong presenter accepted,impersonation,CTL-TRN; separate liveness and holder claims; recovery controls,issuer; wallet; verifier,negative semantic tests,SEC-006,coercive sharing,mitigate,high,HRM-IMP;HRM-AUT,baseline
THR-007,enrolment,False biometric determination attested,assurance correctness,both,biometric provider/issuer,provider-issuer,ADV-P,model error or manipulation,provider-issuer collusion possible,"poor capture, spoofing or model limits",issue valid attestation for wrong determination,enrolment,attestation lifetime,capture quality and provider evidence,valid proof over wrong fact,exclusion or impersonation,"issuer governance, audit, CTL-RED",issuer; accreditation authority,provider evaluation and redress tests,SEC-007,biometric error cannot be eliminated,mitigate,critical,HRM-EXC;HRM-IMP;HRM-RED,baseline
THR-008,enrolment,Duplicate enrolment under same issuer,scoped uniqueness,extended,issuer/enrolment,person-enrolment,ADV-U,multiple enrolment attempts,operator collusion possible,weak deduplication or recovery,obtain multiple enrolled secrets,issuer population,root cryptoperiod,biometric and recovery records,Sybil resistance weakened,fraud and unfair access,CTL-LCM; deduplication controls; recovery continuity,issuer,duplicate enrolment scenarios,SEC-008,biometric matching limits,mitigate,high,HRM-ECO;HRM-GOV,baseline
THR-009,enrolment,Cross-issuer duplicate enrolment,ecosystem uniqueness,extended,multiple issuers,issuer-issuer,ADV-I,enrols independently,issuers do not coordinate,no shared root or recognition,obtain credentials from multiple issuers,ecosystem,credential lifetime,issuer sets and root policies,ecosystem uniqueness overstated,Sybil abuse and legitimacy loss,CTL-GOV; narrow claims; issuer coordination policy,governance authority,cross-issuer scenario review,SEC-009,global uniqueness not established,accept or narrow claim,high,HRM-GOV;HRM-ECO,baseline
THR-010,privacy,Stable enrolment root enables population correlation,unlinkability,extended,issuer/root service,enrolment-root,ADV-IV,persistent privileged observation,issuer-verifier collusion,stable root or member reference exposed,match presentations to population state,cross-context,root cryptoperiod,root references and status traffic,cross-context linkage,surveillance,CTL-CTX; CTL-LCM; commitments,context authority; issuer,collusion and rotation tests,SEC-010,root operator knowledge remains,mitigate,critical,HRM-PRV;HRM-SYS,baseline
