diagram_id,primary_source
D-008,adoption/adoption-model.md
D-009,deployment/deployment-profile-local-proving.md
D-010,deployment/deployment-profile-remote-proving.md
D-011,deployment/deployment-profile-hybrid-proving.md
D-012,deployment/deployment-profile-enterprise-verifier.md
D-013,deployment/deployment-profile-federated-registry.md
D-014,deployment/key-and-secret-management.md
D-015,operations/README.md
D-016,operations/policy-update-runbook.md
D-017,operations/revocation-propagation-runbook.md
D-018,adoption/pilot-design-guide.md
D-019,deployment/deployment-evidence-profile.md
D-020,operations/proof-system-migration-runbook.md
D-021,scenarios/pressure-test-use-case-corpus.md
D-022,deployment/observability-and-data-minimization.md
D-023,implementation/wallet-holder-implementation-guide.md
D-024,operations/redress-and-correction-runbook.md
D-030,interoperability/dtg-dependency-model.md
D-031,implementation/registry-implementation-guide.md
D-032,implementation/verifier-implementation-guide.md
D-033,implementation/delegated-agent-implementation-guide.md
D-034,implementation/issuer-implementation-guide.md
D-035,operations/README.md
D-036,operations/wallet-compromise-and-recovery-runbook.md
D-037,decisions/ratification-procedure.md
D-038,conformance/README.md
